"Pass []","re(Mode(1)) [g]"
1,6.1496212236111
2,6.1283709356948
3,6.69414851488496
4,6.41161804074152
5,6.04911214540429
6,6.35190541061606
7,6.71629001971473
8,6.92858909609916
9,7.05873257836518
10,7.23089299881501
11,7.33030613438892
12,7.37183467812781
13,7.40794712756108
14,7.41921187179013
15,7.42182119548567
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
