,S21
5.6,(-0.990303090200083+0.138220079916449j)
5.6001500150015,(-0.9903025680392938+0.1382237863189946j)
5.600300030003,(-0.9903020458625881+0.1382274927349473j)
5.6004500450045,(-0.9903015236699638+0.1382311991643183j)
5.600600060006001,(-0.9903010014614193+0.1382349056071191j)
5.6007500750075,(-0.9903004792369535+0.1382386120633613j)
5.600900090009,(-0.9902999569965645+0.1382423185330562j)
5.6010501050105,(-0.9902994347402505+0.1382460250162153j)
5.601200120012,(-0.9902989124680103+0.1382497315128502j)
5.6013501350135,(-0.9902983901798419+0.1382534380229723j)
5.601500150015,(-0.9902978678757443+0.1382571445465932j)
5.6016501650165,(-0.9902973455557149+0.1382608510837244j)
5.601800180018,(-0.9902968232197532+0.1382645576343774j)
5.6019501950195,(-0.9902963008678569+0.1382682641985637j)
5.602100210021,(-0.9902957785000246+0.1382719707762951j)
5.6022502250225,(-0.9902952561162545+0.1382756773675829j)
5.602400240024,(-0.9902947337165452+0.1382793839724388j)
5.6025502550255,(-0.990294211300895+0.1382830905908744j)
5.602700270027,(-0.9902936888693025+0.1382867972229014j)
5.6028502850285,(-0.9902931664217657+0.1382905038685312j)
5.60300030003,(-0.9902926439582831+0.1382942105277756j)
5.6031503150315,(-0.9902921214788535+0.1382979172006462j)
5.603300330033,(-0.9902915989834745+0.1383016238871547j)
5.6034503450345,(-0.9902910764721453+0.1383053305873127j)
5.603600360036,(-0.9902905539448634+0.1383090373011318j)
5.6037503750375,(-0.9902900314016281+0.1383127440286239j)
5.603900390039,(-0.990289508842437+0.1383164507698006j)
5.6040504050405,(-0.990288986267289+0.1383201575246736j)
5.604200420042,(-0.990288463676182+0.1383238642932546j)
5.6043504350435,(-0.9902879410691148+0.1383275710755554j)
5.604500450045,(-0.9902874184460854+0.1383312778715878j)
5.6046504650465,(-0.9902868958070927+0.1383349846813634j)
5.604800480048,(-0.9902863731521342+0.1383386915048941j)
5.60495049504951,(-0.9902858504812091+0.1383423983421919j)
5.60510051005101,(-0.9902853277943152+0.138346105193268j)
5.605250525052509,(-0.9902848050914512+0.1383498120581347j)
5.605400540054009,(-0.9902842823726152+0.1383535189368036j)
5.605550555055509,(-0.9902837596378059+0.1383572258292866j)
5.605700570057009,(-0.9902832368870214+0.1383609327355957j)
5.605850585058511,(-0.9902827141202599+0.1383646396557424j)
5.606000600060011,(-0.9902821913375199+0.138368346589739j)
5.60615061506151,(-0.9902816685388+0.138372053537597j)
5.60630063006301,(-0.9902811457240981+0.1383757604993285j)
5.60645064506451,(-0.9902806228934128+0.1383794674749454j)
5.60660066006601,(-0.9902801000467423+0.1383831744644596j)
5.60675067506751,(-0.9902795771840851+0.1383868814678829j)
5.60690069006901,(-0.9902790543054394+0.1383905884852275j)
5.60705070507051,(-0.9902785314108035+0.1383942955165051j)
5.60720072007201,(-0.9902780085001759+0.1383980025617278j)
5.60735073507351,(-0.990277485573555+0.1384017096209076j)
5.60750075007501,(-0.990276962630939+0.1384054166940565j)
5.60765076507651,(-0.990276439672326+0.1384091237811863j)
5.60780078007801,(-0.9902759166977146+0.1384128308823093j)
5.60795079507951,(-0.9902753937071033+0.1384165379974373j)
5.60810081008101,(-0.9902748707004899+0.1384202451265825j)
5.60825082508251,(-0.9902743476778733+0.1384239522697568j)
5.60840084008401,(-0.990273824639251+0.1384276594269724j)
5.60855085508551,(-0.9902733015846225+0.1384313665982413j)
5.60870087008701,(-0.990272778513985+0.1384350737835756j)
5.608850885088511,(-0.9902722554273375+0.1384387809829875j)
5.60900090009001,(-0.9902717323246779+0.1384424881964889j)
5.60915091509151,(-0.990271209206005+0.1384461954240922j)
5.60930093009301,(-0.9902706860713166+0.1384499026658093j)
5.60945094509451,(-0.9902701629206111+0.1384536099216524j)
5.60960096009601,(-0.990269639753887+0.1384573171916337j)
5.60975097509751,(-0.9902691165711429+0.1384610244757655j)
5.60990099009901,(-0.9902685933723763+0.1384647317740598j)
5.61005100510051,(-0.9902680701575861+0.1384684390865288j)
5.61020102010201,(-0.9902675469267704+0.1384721464131848j)
5.61035103510351,(-0.9902670236799274+0.1384758537540401j)
5.61050105010501,(-0.9902665004170557+0.1384795611091067j)
5.61065106510651,(-0.9902659771381533+0.1384832684783971j)
5.61080108010801,(-0.9902654538432186+0.1384869758619234j)
5.61095109510951,(-0.9902649305322501+0.1384906832596979j)
5.61110111011101,(-0.9902644072052457+0.1384943906717329j)
5.61125112511251,(-0.9902638838622039+0.1384980980980408j)
5.61140114011401,(-0.9902633605031229+0.1385018055386338j)
5.61155115511551,(-0.9902628371280011+0.1385055129935242j)
5.61170117011701,(-0.9902623137368367+0.1385092204627245j)
5.61185118511851,(-0.9902617903296281+0.1385129279462468j)
5.61200120012001,(-0.9902612669063735+0.1385166354441036j)
5.61215121512151,(-0.9902607434670709+0.1385203429563074j)
5.61230123012301,(-0.990260220011719+0.1385240504828704j)
5.61245124512451,(-0.9902596965403159+0.1385277580238051j)
5.61260126012601,(-0.9902591730528597+0.1385314655791237j)
5.61275127512751,(-0.9902586495493491+0.138535173148839j)
5.61290129012901,(-0.9902581260297819+0.1385388807329632j)
5.61305130513051,(-0.9902576024941568+0.1385425883315088j)
5.613201320132011,(-0.9902570789424715+0.1385462959444882j)
5.61335133513351,(-0.9902565553747251+0.138550003571914j)
5.61350135013501,(-0.990256031790915+0.1385537112137986j)
5.61365136513651,(-0.9902555081910398+0.1385574188701546j)
