,c_connector_arm_Q,cross_Q,ground_main_plane,misc
ground_main_plane,-69.80513,-236.08912,380.93388,110
c_connector_arm_Q,92.22054,-5.54916,-86.34813,3
cross_Q,-5.54916,242.66942,-234.46638,450
ground_main_plane,-86.34813,-234.46638,395.72043,160
c_connector_arm_Q,110.44286,-7.39831,-102.65573,3
cross_Q,-7.39831,242.54982,-232.49635,450
ground_main_plane,-102.65573,-232.49635,410.00364,210
c_connector_arm_Q,128.72384,-9.29989,-118.9717,3
cross_Q,-9.29989,242.50748,-230.55013,450
ground_main_plane,-118.9717,-230.55013,424.30917,260
c_connector_arm_Q,147.68307,-11.23421,-135.93088,3
cross_Q,-11.23421,242.97546,-229.08581,450
ground_main_plane,-135.93088,-229.08581,439.608,310
c_connector_arm_Q,166.31464,-13.26503,-152.47161,3
cross_Q,-13.26503,242.99124,-227.06709,450
ground_main_plane,-152.47161,-227.06709,453.98981,360
c_connector_arm_Q,184.70109,-15.60776,-168.4546,3
cross_Q,-15.60776,242.94045,-224.67119,450
ground_main_plane,-168.4546,-224.67119,467.50448,410
c_connector_arm_Q,37.92146,-1.08199,-36.71959,3
cross_Q,-1.08199,270.20863,-266.44427,500
ground_main_plane,-36.71959,-266.44427,382.77714,10
c_connector_arm_Q,55.58167,-2.12348,-53.27532,3
cross_Q,-2.12348,270.21835,-265.41524,500
ground_main_plane,-53.27532,-265.41524,398.22965,60
c_connector_arm_Q,73.95291,-3.75548,-69.96121,3
cross_Q,-3.75548,270.47196,-264.0378,500
ground_main_plane,-69.96121,-264.0378,413.4018,110
c_connector_arm_Q,92.79916,-5.5444,-86.97748,3
cross_Q,-5.5444,271.3092,-263.10283,500
ground_main_plane,-86.97748,-263.10283,429.17954,160
c_connector_arm_Q,111.14316,-7.38689,-103.42405,3
cross_Q,-7.38689,271.21435,-261.16197,500
ground_main_plane,-103.42405,-261.16197,443.71509,210
c_connector_arm_Q,129.53106,-9.26676,-119.87856,3
cross_Q,-9.26676,271.2261,-259.29082,500
ground_main_plane,-119.87856,-259.29082,458.19718,260
c_connector_arm_Q,147.68216,-11.17492,-136.07228,3
cross_Q,-11.17492,271.05801,-257.21187,500
ground_main_plane,-136.07228,-257.21187,472.37913,310
c_connector_arm_Q,166.25917,-13.13208,-152.64195,3
cross_Q,-13.13208,271.11986,-255.31842,500
ground_main_plane,-152.64195,-255.31842,486.91973,360
c_connector_arm_Q,184.72465,-15.17732,-169.00959,3
cross_Q,-15.17732,271.10626,-253.25929,500
ground_main_plane,-169.00959,-253.25929,501.15197,410
c_connector_arm_Q,203.29856,-17.49982,-185.20639,3
cross_Q,-17.49982,271.09893,-250.95418,500
ground_main_plane,-185.20639,-250.95418,514.87987,460
