,S21
6.69326402640264,(-0.7915774495761534+0.4446174410976634j)
6.69326602660266,(-0.7915286077797208+0.4446527959978201j)
6.69326802680268,(-0.7914797448217619+0.4446881572338353j)
6.6932700270027,(-0.7914308606901762+0.4447235248051451j)
6.69327202720272,(-0.7913819553727627+0.4447588987112494j)
6.693274027402739,(-0.7913330288574407+0.4447942789515509j)
6.69327602760276,(-0.7912840811319837+0.4448296655255494j)
6.69327802780278,(-0.7912351121842762+0.4448650584326546j)
6.6932800280028,(-0.7911861220021028+0.4449004576723389j)
6.69328202820282,(-0.7911371105732763+0.444935863244046j)
6.69328402840284,(-0.7910880778855823+0.4449712751472283j)
6.69328602860286,(-0.7910390239268908+0.4450066933812692j)
6.69328802880288,(-0.7909899486849344+0.4450421179456415j)
6.6932900290029,(-0.7909408521474837+0.4450775488397813j)
6.69329202920292,(-0.7908917343023464+0.4451129860630889j)
6.69329402940294,(-0.7908425951372302+0.4451484296150261j)
6.69329602960296,(-0.7907934346399628+0.4451838794949601j)
6.69329802980298,(-0.7907442527982264+0.4452193357023531j)
6.693300030003,(-0.7906950495998136+0.4452547982365783j)
6.69330203020302,(-0.7906458250323988+0.4452902670970848j)
6.69330403040304,(-0.790596579083758+0.445325742283239j)
6.69330603060306,(-0.7905473117415304+0.4453612237944963j)
6.69330803080308,(-0.7904980229935121+0.4453967116301898j)
6.6933100310031,(-0.7904487128273252+0.4454322057897683j)
6.69331203120312,(-0.7903993812307035+0.4454677062725912j)
6.69331403140314,(-0.7903500281912889+0.445503213078074j)
6.6933160316031595,(-0.7903006536967888+0.4455387262055756j)
6.693318031803179,(-0.790251257734847+0.4455742456544918j)
6.693320032003199,(-0.7902018402930994+0.445609771424214j)
6.693322032203219,(-0.7901524013592178+0.445645303514098j)
6.693324032403239,(-0.7901029409208217+0.4456808419235288j)
6.69332603260326,(-0.790053458965539+0.445716386651875j)
6.69332803280328,(-0.7900039554810082+0.4457519376984879j)
6.6933300330033,(-0.7899544304548409+0.4457874950627292j)
6.69333203320332,(-0.7899048838746127+0.445823058743977j)
6.69333403340334,(-0.7898553157279637+0.4458586287415524j)
6.69333603360336,(-0.7898057260024254+0.4458942050548464j)
6.69333803380338,(-0.7897561146856026+0.4459297876831869j)
6.6933400340034,(-0.7897064817650554+0.445965376625924j)
6.69334203420342,(-0.7896568272283814+0.4460009718823724j)
6.693344034403441,(-0.7896071510630863+0.4460365734519023j)
6.69334603460346,(-0.7895574532567511+0.4460721813338207j)
6.69334803480348,(-0.7895077337968458+0.446107795527504j)
6.6933500350035,(-0.7894579926709901+0.4461434160322125j)
6.69335203520352,(-0.7894082298666273+0.4461790428473226j)
6.69335403540354,(-0.7893584453713137+0.4462146759721203j)
6.693356035603559,(-0.7893086391725316+0.4462503154059352j)
6.69335803580358,(-0.7892588112577642+0.4462859611480863j)
6.6933600360036,(-0.7892089616144768+0.4463216131978958j)
6.69336203620362,(-0.7891590902302006+0.4463572715546291j)
6.69336403640364,(-0.7891091970923834+0.4463929362176016j)
6.69336603660366,(-0.7890592821884561+0.4464286071861311j)
6.69336803680368,(-0.7890093455059053+0.4464642844594859j)
6.6933700370037,(-0.7889593870321066+0.4464999680370039j)
6.69337203720372,(-0.7889094067545859+0.4465356579179058j)
6.69337403740374,(-0.788859404660692+0.4465713541015292j)
6.69337603760376,(-0.7888093807378875+0.4466070565871205j)
6.69337803780378,(-0.7887593349735503+0.4466427653739771j)
6.6933800380038,(-0.7887092673550793+0.446678480461372j)
6.69338203820382,(-0.7886591778698724+0.4467142018485679j)
6.69338403840384,(-0.7886090665053291+0.4467499295348176j)
6.69338603860386,(-0.7885589332487849+0.4467856635194103j)
6.69338803880388,(-0.7885087780876304+0.4468214038015842j)
6.6933900390039,(-0.7884586010092022+0.4468571503806082j)
6.69339203920392,(-0.788408402000856+0.4468929032557269j)
6.69339403940394,(-0.7883581810499197+0.4469286624261947j)
6.69339603960396,(-0.7883079381437595+0.4469644278912291j)
6.69339803980398,(-0.7882576732696396+0.4470001996501107j)
6.693400040004,(-0.788207386414918+0.4470359777020431j)
6.693402040204021,(-0.7881570775668418+0.4470717620462992j)
6.69340404040404,(-0.7881067467127891+0.4471075526820487j)
6.69340604060406,(-0.7880563938399702+0.4471433496085708j)
6.69340804080408,(-0.7880060189356995+0.4471791528250607j)
6.6934100410041,(-0.7879556219872452+0.4472149623307372j)
6.69341204120412,(-0.7879052029818383+0.4472507781248351j)
6.69341404140414,(-0.7878547619067289+0.4472866002065649j)
6.69341604160416,(-0.7878042987492061+0.4473224285751013j)
6.69341804180418,(-0.7877538134964843+0.4473582632296609j)
6.6934200420042,(-0.7877033061357498+0.4473941041694706j)
6.69342204220422,(-0.7876527766542658+0.4474299513936927j)
6.69342404240424,(-0.7876022250391916+0.4474658049015536j)
6.69342604260426,(-0.7875516512777817+0.4475016646922017j)
6.69342804280428,(-0.7875010553571785+0.4475375307648554j)
6.6934300430043,(-0.7874504372646002+0.4475734031186694j)
6.69343204320432,(-0.7873997969871711+0.4476092817528546j)
6.69343404340434,(-0.7873491345121109+0.447645166666544j)
6.69343604360436,(-0.787298449826508+0.4476810578589551j)
6.69343804380438,(-0.7872477429175728+0.4477169553292072j)
6.6934400440044,(-0.7871970137724051+0.447752859076489j)
6.69344204420442,(-0.7871462623781509+0.4477887690999462j)
6.69344404440444,(-0.7870954887219102+0.4478246853987469j)
6.69344604460446,(-0.787044692790793+0.447860607972042j)
6.69344804480448,(-0.7869938745719103+0.4478965368189721j)
6.6934500450045,(-0.7869430340523726+0.4479324719386674j)
6.69345204520452,(-0.7868921712192265+0.447968413330294j)
6.69345404540454,(-0.7868412860595838+0.4480043609929611j)
6.69345604560456,(-0.7867903785604538+0.4480403149258407j)
6.69345804580458,(-0.7867394487089595+0.4480762751280145j)
6.6934600460046,(-0.7866884964921111+0.4481122415986331j)
6.69346204620462,(-0.7866375218969764+0.4481482143367967j)
6.69346404640464,(-0.7865865249105569+0.4481841933416424j)
6.69346604660466,(-0.7865355055198644+0.4482201786122896j)
6.693468046804679,(-0.7864844637119593+0.4482561701478135j)
6.693470047004699,(-0.7864333994737873+0.4482921679473595j)
6.693472047204719,(-0.786382312792391+0.448328172009995j)
6.693474047404739,(-0.7863312036547184+0.4483641823348442j)
6.693476047604759,(-0.7862800720477842+0.4484001989209735j)
6.69347804780478,(-0.7862289179584985+0.4484362217675127j)
6.6934800480048,(-0.7861777413738873+0.4484722508735002j)
6.69348204820482,(-0.7861265422808623+0.4485082862380448j)
6.693484048404841,(-0.7860753206663935+0.4485443278602039j)
6.69348604860486,(-0.7860240765173838+0.4485803757390716j)
6.69348804880488,(-0.785972809820747+0.4486164298737242j)
6.6934900490049,(-0.7859215205634065+0.4486524902632213j)
6.69349204920492,(-0.7858702087323054+0.4486885569065979j)
6.69349404940494,(-0.7858188743143119+0.448724629802932j)
6.693496049604959,(-0.785767517296293+0.4487607089512915j)
6.69349804980498,(-0.7857161376651656+0.4487967943506997j)
6.693500050005,(-0.7856647354077412+0.4488328860002427j)
6.69350205020502,(-0.7856133105109568+0.4488689838989093j)
6.69350405040504,(-0.785561862961596+0.4489050880457848j)
6.69350605060506,(-0.7855103927465584+0.4489411984398628j)
6.69350805080508,(-0.7854588998526194+0.4489773150802146j)
6.6935100510051,(-0.7854073842666416+0.4490134379658387j)
6.69351205120512,(-0.7853558459754205+0.4490495670957715j)
6.69351405140514,(-0.7853042849657905+0.4490857024690108j)
6.69351605160516,(-0.78525270122451+0.4491218440845979j)
6.69351805180518,(-0.7852010947384153+0.4491579919415094j)
6.6935200520052,(-0.7851494654942266+0.4491941460387916j)
6.69352205220522,(-0.7850978134787331+0.4492303063754335j)
6.69352405240524,(-0.7850461386787143+0.4492664729504197j)
6.69352605260526,(-0.7849944410809309+0.4493026457627375j)
6.69352805280528,(-0.7849427206720874+0.4493388248114039j)
6.6935300530053,(-0.7848909774389451+0.4493750100953847j)
6.69353205320532,(-0.7848392113681897+0.4494112016136886j)
6.69353405340534,(-0.7847874224465937+0.4494473993652533j)
6.69353605360536,(-0.7847356106608153+0.4494836033490859j)
6.69353805380538,(-0.784683775997589+0.4495198135641294j)
6.6935400540054,(-0.7846319184435834+0.4495560300093628j)
6.69354205420542,(-0.7845800379854568+0.4495922526837606j)
6.69354405440544,(-0.7845281346098792+0.449628481586281j)
6.69354605460546,(-0.7844762083035685+0.4496647167158362j)
6.69354805480548,(-0.7844242590531363+0.4497009580714024j)
6.6935500550055,(-0.7843722868452052+0.4497372056519381j)
6.69355205520552,(-0.7843202916664367+0.4497734594563643j)
6.69355405540554,(-0.7842682735034153+0.4498097194836442j)
6.69355605560556,(-0.7842162323428131+0.4498459857326703j)
6.69355805580558,(-0.7841641681711865+0.4498822582024046j)
6.6935600560056,(-0.78411208097518+0.4499185368917376j)
6.69356205620562,(-0.7840599707413214+0.4499548217996301j)
6.69356405640564,(-0.7840078374562366+0.4499911129249642j)
6.69356605660566,(-0.7839556811064351+0.4500274102666924j)
6.69356805680568,(-0.7839035016785534+0.450063713823668j)
6.6935700570057,(-0.7838512991590729+0.4501000235948417j)
6.69357205720572,(-0.7837990735345925+0.4501363395790724j)
6.69357405740574,(-0.7837468247915944+0.4501726617752884j)
6.69357605760576,(-0.7836945529166095+0.4502089901823745j)
6.69357805780578,(-0.7836422578961705+0.450245324799203j)
6.6935800580058,(-0.7835899397167799+0.4502816656246565j)
6.69358205820582,(-0.7835375983649027+0.4503180126576335j)
6.69358405840584,(-0.7834852338270623+0.4503543658969812j)
6.69358605860586,(-0.783432846089675+0.4503907253416091j)
6.69358805880588,(-0.7833804351392857+0.4504270909903288j)
6.6935900590059,(-0.7833280009622918+0.4504634628420419j)
6.69359205920592,(-0.7832755435451796+0.4504998408955784j)
6.69359405940594,(-0.7832230628743682+0.4505362251498043j)
6.69359605960596,(-0.783170558936256+0.4505726156035882j)
6.69359805980598,(-0.7831180317172826+0.4506090122557607j)
6.693600060006001,(-0.7830654812038965+0.4506454151051343j)
6.69360206020602,(-0.7830129073824793+0.4506818241505581j)
6.69360406040604,(-0.7829603102393825+0.4507182393908904j)
6.69360606060606,(-0.7829076897610372+0.4507546608249239j)
6.69360806080608,(-0.782855045933757+0.4507910884515219j)
6.6936100610061,(-0.7828023787439835+0.4508275222694483j)
6.693612061206119,(-0.7827496881780114+0.4508639622775577j)
6.69361406140614,(-0.7826969742222243+0.4509004084746323j)
6.69361606160616,(-0.782644236862918+0.4509368608595046j)
6.69361806180618,(-0.7825914760864565+0.4509733194309483j)
6.693620062006199,(-0.7825386918791076+0.4510097841877935j)
6.693622062206219,(-0.7824858842272367+0.4510462551287917j)
6.693624062406241,(-0.7824330531171017+0.4510827322527577j)
6.693626062606259,(-0.7823801985349801+0.4511192155584819j)
6.693628062806279,(-0.7823273204671997+0.4511557050447088j)
6.6936300630063,(-0.7822744188999503+0.4511922007102677j)
6.69363206320632,(-0.7822214938195805+0.4512287025538673j)
6.69363406340634,(-0.7821685452122804+0.4512652105743143j)
6.693636063606358,(-0.7821155730643304+0.4513017247703426j)
6.69363806380638,(-0.7820625773619118+0.4513382451407433j)
6.6936400640064,(-0.7820095580912858+0.4513747716842417j)
6.69364206420642,(-0.7819565152386544+0.4514113043995924j)
6.69364406440644,(-0.7819034487902295+0.4514478432855322j)
6.69364606460646,(-0.781850358732185+0.4514843883408139j)
6.69364806480648,(-0.7817972450507238+0.4515209395641588j)
6.6936500650065,(-0.7817441077319898+0.4515574969543171j)
6.69365206520652,(-0.7816909467621678+0.4515940605100011j)
6.69365406540654,(-0.781637762127412+0.4516306302299322j)
6.69365606560656,(-0.7815845538138878+0.4516672061128133j)
6.69365806580658,(-0.7815313218076915+0.451703788157384j)
6.6936600660066,(-0.7814780660949885+0.451740376362325j)
6.69366206620662,(-0.7814247866618365+0.4517769707263803j)
6.69366406640664,(-0.7813714834944209+0.4518135712481942j)
6.69366606660666,(-0.7813181565787706+0.4518501779265084j)
6.69366806680668,(-0.7812648059010329+0.451886790759972j)
6.6936700670067,(-0.7812114314472457+0.4519234097472973j)
6.69367206720672,(-0.7811580332034683+0.4519600348871719j)
6.69367406740674,(-0.7811046111557596+0.4519966661782717j)
6.69367606760676,(-0.7810511652902387+0.4520333036192205j)
6.69367806780678,(-0.7809976955928855+0.4520699472087262j)
6.6936800680068,(-0.7809442020497103+0.4521065969454651j)
6.69368206820682,(-0.7808906846467937+0.4521432528280535j)
6.69368406840684,(-0.7808371433700765+0.452179914855193j)
6.69368606860686,(-0.7807835782056398+0.4522165830254769j)
6.69368806880688,(-0.7807299891394053+0.4522532573375979j)
6.6936900690069,(-0.780676376157415+0.4522899377901536j)
6.69369206920692,(-0.7806227392455809+0.4523266243818204j)
6.6936940694069405,(-0.7805690783899258+0.4523633171111872j)
6.69369606960696,(-0.7805153935763225+0.452400015976934j)
6.69369806980698,(-0.7804616847908039+0.4524367209776209j)
6.693700070007,(-0.7804079520192436+0.4524734321119044j)
6.69370207020702,(-0.7803541952476056+0.4525101493783694j)
6.69370407040704,(-0.7803004144617639+0.4525468727756497j)
6.69370607060706,(-0.7802466096476426+0.4525836023023344j)
6.69370807080708,(-0.7801927807911262+0.4526203379570274j)
6.6937100710071,(-0.7801389278781397+0.4526570797382948j)
6.69371207120712,(-0.780085050894508+0.4526938276447588j)
6.69371407140714,(-0.7800311498261268+0.4527305816749825j)
6.69371607160716,(-0.779977224658801+0.4527673418275787j)
6.69371807180718,(-0.7799232753784675+0.4528041081010604j)
6.6937200720072,(-0.7798693019708817+0.4528408804940516j)
6.69372207220722,(-0.7798153044219197+0.4528776590050826j)
6.69372407240724,(-0.7797612827173781+0.4529144436327273j)
6.69372607260726,(-0.7797072368430435+0.4529512343755543j)
6.69372807280728,(-0.7796531667847129+0.4529880312321145j)
6.6937300730073,(-0.7795990725282231+0.4530248342009192j)
6.69373207320732,(-0.7795449540593321+0.4530616432805228j)
6.69373407340734,(-0.7794908113637763+0.4530984584694824j)
6.69373607360736,(-0.7794366444273441+0.4531352797663086j)
6.69373807380738,(-0.7793824532357321+0.4531721071695628j)
6.693740074007401,(-0.7793282377747697+0.4532089406777042j)
6.69374207420742,(-0.7792739980301037+0.4532457802893056j)
6.69374407440744,(-0.7792197339875029+0.4532826260028447j)
6.69374607460746,(-0.7791654456326353+0.4533194778168561j)
6.69374807480748,(-0.7791111329512397+0.453356335729815j)
6.6937500750075,(-0.7790567959289437+0.4533931997402605j)
6.693752075207519,(-0.7790024345515075+0.4534300698466306j)
6.69375407540754,(-0.7789480488045284+0.4534669460474613j)
6.69375607560756,(-0.7788936386737263+0.4535038283411948j)
6.69375807580758,(-0.7788392041446889+0.4535407167263505j)
6.6937600760076,(-0.7787847452030964+0.4535776112013745j)
6.69376207620762,(-0.7787302618345573+0.4536145117647491j)
6.69376407640764,(-0.778675754024721+0.4536514184149176j)
6.69376607660766,(-0.7786212217591664+0.4536883311503593j)
6.69376807680768,(-0.7785666650235131+0.4537252499695146j)
6.6937700770076995,(-0.7785120838033404+0.4537621748708389j)
6.693772077207719,(-0.7784574780842072+0.4537991058527906j)
6.693774077407739,(-0.7784028478517131+0.4538360429137882j)
6.693776077607759,(-0.7783481930913972+0.4538729860522794j)
6.693778077807779,(-0.77829351378884+0.4539099352666731j)
6.693780078007799,(-0.7782388099295291+0.4539468905554285j)
6.69378207820782,(-0.7781840814990353+0.4539838519169369j)
6.69378407840784,(-0.7781293284828572+0.4540208193496268j)
6.69378607860786,(-0.778074550866535+0.4540577928518871j)
6.69378807880788,(-0.7780197486355271+0.4540947724221497j)
6.6937900790079,(-0.7779649217753741+0.45413175805878j)
6.69379207920792,(-0.7779100702714734+0.4541687497602274j)
6.69379407940794,(-0.7778551941093861+0.4542057475248196j)
6.69379607960796,(-0.7778002932745+0.4542427513509895j)
6.69379807980798,(-0.7777453677523254+0.4542797612370748j)
6.693800080008,(-0.777690417528271+0.454316777181471j)
6.69380208020802,(-0.7776354425877345+0.4543537991825686j)
6.69380408040804,(-0.7775804429161561+0.4543908272387177j)
6.69380608060806,(-0.7775254184989848+0.4544278613482505j)
6.69380808080808,(-0.7774703693215992+0.4544649015095347j)
6.6938100810081,(-0.7774152953693468+0.4545019477209479j)
6.69381208120812,(-0.7773601966276572+0.4545389999807992j)
6.69381408140814,(-0.7773050730818375+0.4545760582874692j)
6.69381608160816,(-0.777249924717328+0.4546131226392368j)
6.69381808180818,(-0.7771947515194152+0.4546501930344723j)
6.6938200820082,(-0.7771395534734677+0.4546872694714792j)
6.69382208220822,(-0.7770843305647928+0.4547243519485897j)
6.69382408240824,(-0.7770290827787395+0.4547614404640967j)
6.69382608260826,(-0.7769738101005423+0.4547985350163572j)
6.69382808280828,(-0.7769185125156024+0.4548356356036055j)
6.6938300830083,(-0.7768631900091242+0.4548727422241948j)
6.69383208320832,(-0.7768078425664359+0.4549098548763838j)
6.6938340834083405,(-0.7767524701727635+0.4549469735584882j)
6.69383608360836,(-0.7766970728133944+0.4549840982687696j)
6.69383808380838,(-0.7766416504735538+0.4550212290055199j)
6.6938400840084,(-0.7765862031384992+0.4550583657669974j)
6.69384208420842,(-0.7765307307934354+0.4550955085514831j)
6.69384408440844,(-0.7764752334236096+0.4551326573572181j)
6.69384608460846,(-0.7764197110141641+0.4551698121825011j)
6.69384808480848,(-0.7763641635503675+0.4552069730255349j)
6.6938500850085,(-0.7763085910173632+0.4552441398845937j)
6.69385208520852,(-0.7762529934003461+0.4552813127579047j)
6.69385408540854,(-0.7761973706844709+0.4553184916437106j)
6.69385608560856,(-0.7761417228548705+0.455355676540256j)
6.69385808580858,(-0.7760860498966995+0.4553928674457594j)
6.6938600860086,(-0.7760303517951326+0.4554300643584132j)
6.69386208620862,(-0.7759746285352617+0.4554672672764528j)
6.69386408640864,(-0.7759188801021693+0.4555044761981087j)
6.69386608660866,(-0.7758631064810195+0.4555416911215439j)
6.69386808680868,(-0.7758073076568329+0.4555789120450053j)
6.6938700870087,(-0.7757514836147634+0.4556161389666386j)
6.69387208720872,(-0.7756956343398413+0.4556533718846594j)
6.69387408740874,(-0.7756397598171487+0.4556906107972371j)
6.69387608760876,(-0.775583860031716+0.4557278557025631j)
6.69387808780878,(-0.7755279349686038+0.4557651065987962j)
6.693880088008801,(-0.7754719846127912+0.455802363484138j)
6.69388208820882,(-0.7754160089493807+0.4558396263566944j)
6.69388408840884,(-0.7753600079633196+0.4558768952146637j)
6.69388608860886,(-0.7753039816396483+0.4559141700561689j)
6.69388808880888,(-0.7752479299633139+0.4559514508793831j)
6.6938900890089,(-0.7751918529193053+0.4559887376824399j)
6.693892089208919,(-0.7751357504926111+0.4560260304634599j)
6.69389408940894,(-0.7750796226681885+0.4560633292205725j)
6.69389608960896,(-0.7750234694309636+0.4561006339519156j)
6.69389808980898,(-0.7749672907658944+0.4561379446555938j)
6.693900090009,(-0.7749110866578645+0.4561752613297478j)
6.69390209020902,(-0.7748548570918526+0.456212583972444j)
6.69390409040904,(-0.7747986020527114+0.4562499125818189j)
6.69390609060906,(-0.7747423215253779+0.4562872471559415j)
6.69390809080908,(-0.774686015494715+0.4563245876929171j)
6.6939100910091,(-0.7746296839455761+0.4563619341908456j)
6.69391209120912,(-0.7745733268628129+0.456399286647814j)
6.69391409140914,(-0.7745169442313632+0.4564366450618417j)
6.69391609160916,(-0.7744605360360056+0.4564740094310394j)
6.69391809180918,(-0.7744041022615722+0.4565113797534713j)
6.6939200920092,(-0.7743476428929051+0.4565487560271815j)
6.6939220922092195,(-0.7742911579147941+0.456586138250237j)
6.693924092409239,(-0.7742346473120605+0.456623526420671j)
6.693926092609259,(-0.7741781110694619+0.4566609205365461j)
6.693928092809279,(-0.7741215491718199+0.4566983205958706j)
6.693930093009299,(-0.7740649616038817+0.456735726596689j)
6.693932093209319,(-0.7740083483503845+0.4567731385370404j)
6.69393409340934,(-0.7739517093960753+0.4568105564149441j)
6.69393609360936,(-0.7738950447257438+0.4568479802283792j)
