,c_connector_arm_Q,cross_Q,ground_main_plane,misc
c_connector_arm_Q,39.89131,-1.26386,-38.30635,4
cross_Q,-1.26386,26.60275,-24.58968,50
ground_main_plane,-38.30635,-24.58968,100.3755,10
c_connector_arm_Q,39.94677,-1.22037,-38.46024,4
cross_Q,-1.22037,52.17916,-49.52535,100
ground_main_plane,-38.46024,-49.52535,130.07129,10
c_connector_arm_Q,58.39786,-2.47088,-55.4998,4
cross_Q,-2.47088,52.16128,-48.25596,100
ground_main_plane,-55.4998,-48.25596,145.68974,60
c_connector_arm_Q,39.79974,-1.15903,-38.40208,4
cross_Q,-1.15903,79.50374,-76.59376,150
ground_main_plane,-38.40208,-76.59376,162.51748,10
c_connector_arm_Q,58.34737,-2.26128,-55.71162,4
cross_Q,-2.26128,79.57994,-75.56421,150
ground_main_plane,-55.71162,-75.56421,178.45546,60
c_connector_arm_Q,77.34422,-4.17628,-72.66248,4
cross_Q,-4.17628,79.5873,-73.64334,150
ground_main_plane,-72.66248,-73.64334,193.33395,110
c_connector_arm_Q,39.31992,-1.12075,-37.98209,4
cross_Q,-1.12075,107.37334,-104.19979,200
ground_main_plane,-37.98209,-104.19979,194.75333,10
c_connector_arm_Q,58.30815,-2.1704,-55.8046,4
cross_Q,-2.1704,107.79069,-103.55363,200
ground_main_plane,-55.8046,-103.55363,211.24741,60
c_connector_arm_Q,77.46977,-3.85448,-73.17246,4
cross_Q,-3.85448,107.80772,-101.88594,200
ground_main_plane,-73.17246,-101.88594,226.72652,110
c_connector_arm_Q,96.46999,-5.98044,-89.93178,4
cross_Q,-5.98044,107.76502,-99.71555,200
ground_main_plane,-89.93178,-99.71555,241.21203,160
c_connector_arm_Q,39.84951,-1.10305,-38.56154,4
cross_Q,-1.10305,136.20358,-132.83872,250
ground_main_plane,-38.56154,-132.83872,228.13308,10
c_connector_arm_Q,58.30787,-2.12523,-55.89282,4
cross_Q,-2.12523,136.15672,-131.76883,250
ground_main_plane,-55.89282,-131.76883,244.3237,60
c_connector_arm_Q,77.41446,-3.744,-73.28781,4
cross_Q,-3.744,136.24581,-130.23081,250
ground_main_plane,-73.28781,-130.23081,259.94893,110
c_connector_arm_Q,96.51409,-5.60673,-90.42145,4
cross_Q,-5.60673,136.21154,-128.33176,250
