,c_connector_arm_Q,cross_Q,ground_main_plane,misc
ground_main_plane,-90.42145,-128.33176,275.08995,160
c_connector_arm_Q,115.75884,-7.81492,-107.36183,4
cross_Q,-7.81492,136.30847,-126.22712,250
ground_main_plane,-107.36183,-126.22712,289.74045,210
c_connector_arm_Q,39.87289,-1.08546,-38.63417,4
cross_Q,-1.08546,164.99797,-161.52181,300
ground_main_plane,-38.63417,-161.52181,261.64847,10
c_connector_arm_Q,58.38682,-2.09514,-56.04439,4
cross_Q,-2.09514,164.99295,-160.48085,300
ground_main_plane,-56.04439,-160.48085,277.8912,60
c_connector_arm_Q,77.38192,-3.68261,-73.37265,4
cross_Q,-3.68261,164.91224,-158.81289,300
ground_main_plane,-73.37265,-158.81289,293.49876,110
c_connector_arm_Q,96.44719,-5.47047,-90.55821,4
cross_Q,-5.47047,164.88552,-156.99768,300
ground_main_plane,-90.55821,-156.99768,308.77094,160
c_connector_arm_Q,115.95469,-7.3934,-108.06504,4
cross_Q,-7.3934,165.20736,-155.40285,300
ground_main_plane,-108.06504,-155.40285,324.37636,210
c_connector_arm_Q,134.77098,-9.62328,-124.56909,4
cross_Q,-9.62328,164.92819,-152.88652,300
ground_main_plane,-124.56909,-152.88652,338.41773,260
c_connector_arm_Q,39.75203,-1.07159,-38.52358,4
cross_Q,-1.07159,193.46402,-189.89591,350
ground_main_plane,-38.52358,-189.89591,294.95158,10
c_connector_arm_Q,58.35925,-2.07199,-56.05847,4
cross_Q,-2.07199,193.61265,-189.0349,350
ground_main_plane,-56.05847,-189.0349,311.3457,60
c_connector_arm_Q,77.3508,-3.64151,-73.4004,4
cross_Q,-3.64151,193.60154,-187.45101,350
ground_main_plane,-73.4004,-187.45101,327.00104,110
c_connector_arm_Q,96.56415,-5.39772,-90.77921,4
cross_Q,-5.39772,193.72648,-185.8121,350
ground_main_plane,-90.77921,-185.8121,342.49011,160
c_connector_arm_Q,115.75544,-7.24569,-108.04974,4
cross_Q,-7.24569,193.68266,-183.92063,350
ground_main_plane,-108.04974,-183.92063,357.78423,210
c_connector_arm_Q,134.72241,-9.1911,-124.99807,4
cross_Q,-9.1911,193.63361,-181.92719,350
ground_main_plane,-124.99807,-181.92719,372.70495,260
c_connector_arm_Q,153.96324,-11.44221,-141.91017,4
cross_Q,-11.44221,193.76033,-179.79543,350
ground_main_plane,-141.91017,-179.79543,387.27002,310
c_connector_arm_Q,39.84107,-1.06533,-38.64325,4
cross_Q,-1.06533,222.25189,-218.40868,400
ground_main_plane,-38.64325,-218.40868,327.57223,10
c_connector_arm_Q,57.51285,-2.04813,-55.24177,4
cross_Q,-2.04813,220.85177,-216.04401,400
ground_main_plane,-55.24177,-216.04401,342.33985,60
c_connector_arm_Q,77.41882,-3.59941,-73.52319,4
cross_Q,-3.59941,222.33686,-215.94901,400
ground_main_plane,-73.52319,-215.94901,359.6871,110
c_connector_arm_Q,96.51972,-5.32604,-90.81916,4
cross_Q,-5.32604,222.39439,-214.27921,400
ground_main_plane,-90.81916,-214.27921,375.20435,160
c_connector_arm_Q,115.61602,-7.11964,-108.02985,4
cross_Q,-7.11964,222.33987,-212.43017,400
ground_main_plane,-108.02985,-212.43017,390.46956,210
c_connector_arm_Q,134.55679,-8.97036,-125.04303,4
cross_Q,-8.97036,222.20386,-210.4466,400
ground_main_plane,-125.04303,-210.4466,405.48876,260
c_connector_arm_Q,153.97214,-10.93142,-142.41403,4
cross_Q,-10.93142,222.42698,-208.69931,400
ground_main_plane,-142.41403,-208.69931,420.89662,310
c_connector_arm_Q,172.99156,-13.17212,-159.123,4
cross_Q,-13.17212,222.38896,-206.41929,400
ground_main_plane,-159.123,-206.41929,435.2524,360
c_connector_arm_Q,39.90888,-1.06266,-38.72291,4
cross_Q,-1.06266,251.55567,-247.82585,450
ground_main_plane,-38.72291,-247.82585,361.87695,10
c_connector_arm_Q,58.31503,-2.05749,-56.07099,4
cross_Q,-2.05749,251.24485,-246.52093,450
ground_main_plane,-56.07099,-246.52093,377.92071,60
c_connector_arm_Q,77.41413,-3.61038,-73.54867,4
cross_Q,-3.61038,251.47603,-245.19978,450
ground_main_plane,-73.54867,-245.19978,393.95496,110
c_connector_arm_Q,96.47081,-5.33796,-90.81384,4
cross_Q,-5.33796,251.42402,-243.42087,450
ground_main_plane,-90.81384,-243.42087,409.37788,160
c_connector_arm_Q,115.96794,-7.12571,-108.45685,4
cross_Q,-7.12571,251.7823,-241.99691,450
ground_main_plane,-108.45685,-241.99691,425.45427,210
c_connector_arm_Q,135.15709,-8.96171,-125.74893,4
cross_Q,-8.96171,251.71633,-240.09269,450
ground_main_plane,-125.74893,-240.09269,440.79883,260
c_connector_arm_Q,154.29393,-10.84582,-142.93682,4
cross_Q,-10.84582,251.71297,-238.20225,450
ground_main_plane,-142.93682,-238.20225,456.01175,310
c_connector_arm_Q,173.05331,-12.80416,-159.67868,4
cross_Q,-12.80416,251.44754,-235.98246,450
ground_main_plane,-159.67868,-235.98246,470.54775,360
c_connector_arm_Q,191.94633,-15.07183,-176.25052,4
cross_Q,-15.07183,251.36632,-233.62353,450
ground_main_plane,-176.25052,-233.62353,484.72136,410
c_connector_arm_Q,39.79438,-1.05807,-38.61519,4
cross_Q,-1.05807,279.96945,-276.20435,500
ground_main_plane,-38.61519,-276.20435,394.60171,10
c_connector_arm_Q,58.42391,-2.04531,-56.19534,4
cross_Q,-2.04531,280.23975,-275.49481,500
ground_main_plane,-56.19534,-275.49481,411.32558,60
c_connector_arm_Q,77.54204,-3.60997,-73.69565,4
cross_Q,-3.60997,280.48224,-274.17386,500
ground_main_plane,-73.69565,-274.17386,427.33742,110
c_connector_arm_Q,96.44794,-5.32213,-90.83652,4
cross_Q,-5.32213,280.16416,-272.13836,500
ground_main_plane,-90.83652,-272.13836,442.51568,160
c_connector_arm_Q,115.71417,-7.10179,-108.26554,4
cross_Q,-7.10179,280.39793,-270.59477,500
ground_main_plane,-108.26554,-270.59477,458.22243,210
c_connector_arm_Q,134.81164,-8.90249,-125.50459,4
cross_Q,-8.90249,280.33819,-268.7325,500
ground_main_plane,-125.50459,-268.7325,473.55974,260
c_connector_arm_Q,154.62292,-10.77517,-143.41391,4
cross_Q,-10.77517,280.98448,-267.52868,500
ground_main_plane,-143.41391,-267.52868,490.08847,310
c_connector_arm_Q,173.93708,-12.64657,-160.80257,4
cross_Q,-12.64657,280.86971,-265.5742,500
ground_main_plane,-160.80257,-265.5742,505.38739,360
c_connector_arm_Q,193.12722,-14.62562,-177.96045,4
cross_Q,-14.62562,280.83134,-263.55402,500
ground_main_plane,-177.96045,-263.55402,520.48575,410
c_connector_arm_Q,212.37454,-16.88889,-194.89011,4
cross_Q,-16.88889,280.84572,-261.30601,500
ground_main_plane,-194.89011,-261.30601,535.05502,460
c_connector_arm_Q,40.369,-1.19735,-38.84869,5
cross_Q,-1.19735,26.6053,-24.66164,50
ground_main_plane,-38.84869,-24.66164,101.02375,10
c_connector_arm_Q,40.43705,-1.15977,-39.00793,5
cross_Q,-1.15977,52.17833,-49.5836,100
ground_main_plane,-39.00793,-49.5836,130.70379,10
c_connector_arm_Q,58.94456,-2.31495,-56.22709,5
cross_Q,-2.31495,52.10399,-48.35865,100
ground_main_plane,-56.22709,-48.35865,146.5534,60
c_connector_arm_Q,40.28228,-1.10388,-38.93839,5
cross_Q,-1.10388,79.55323,-76.69673,150
ground_main_plane,-38.93839,-76.69673,163.0853,10
c_connector_arm_Q,58.91833,-2.12495,-56.41852,5
cross_Q,-2.12495,79.58467,-75.70436,150
ground_main_plane,-56.41852,-75.70436,179.3217,60
c_connector_arm_Q,78.01743,-3.91921,-73.59985,5
cross_Q,-3.91921,79.58348,-73.88699,150
ground_main_plane,-73.59985,-73.88699,194.52632,110
c_connector_arm_Q,39.80107,-1.06659,-38.51811,5
cross_Q,-1.06659,107.36909,-104.25243,200
ground_main_plane,-38.51811,-104.25243,195.3207,10
c_connector_arm_Q,58.87989,-2.03668,-56.51266,5
cross_Q,-2.03668,107.80983,-103.69524,200
ground_main_plane,-56.51266,-103.69524,212.07556,60
c_connector_arm_Q,78.12296,-3.61149,-74.07378,5
cross_Q,-3.61149,107.8225,-102.1338,200
ground_main_plane,-74.07378,-102.1338,227.9074,110
c_connector_arm_Q,97.26738,-5.60938,-91.10754,5
cross_Q,-5.60938,107.79168,-100.10569,200
ground_main_plane,-91.10754,-100.10569,242.7992,160
c_connector_arm_Q,39.74561,-1.05066,-38.51895,5
cross_Q,-1.05066,135.30711,-132.00185,250
ground_main_plane,-38.51895,-132.00185,227.78238,10
c_connector_arm_Q,59.02878,-1.99069,-56.74451,5
cross_Q,-1.99069,136.26116,-131.99929,250
ground_main_plane,-56.74451,-131.99929,245.29396,60
c_connector_arm_Q,78.08042,-3.50304,-74.18898,5
cross_Q,-3.50304,136.22318,-130.44828,250
ground_main_plane,-74.18898,-130.44828,261.10313,110
c_connector_arm_Q,97.31205,-5.24965,-91.56867,5
cross_Q,-5.24965,136.21143,-128.68769,250
ground_main_plane,-91.56867,-128.68769,276.61321,160
c_connector_arm_Q,117.3081,-7.33227,-109.39278,5
cross_Q,-7.33227,136.6656,-127.0763,250
ground_main_plane,-109.39278,-127.0763,292.41025,210
c_connector_arm_Q,40.34653,-1.03001,-39.1664,5
cross_Q,-1.03001,165.00356,-161.54981,300
ground_main_plane,-39.1664,-161.54981,262.22621,10
c_connector_arm_Q,58.96691,-1.96215,-56.75836,5
cross_Q,-1.96215,164.98721,-160.60147,300
ground_main_plane,-56.75836,-160.60147,278.78243,60
c_connector_arm_Q,78.05847,-3.44047,-74.29461,5
cross_Q,-3.44047,164.92251,-159.05727,300
ground_main_plane,-74.29461,-159.05727,294.72102,110
c_connector_arm_Q,97.22222,-5.11424,-91.69409,5
cross_Q,-5.11424,164.90665,-157.36933,300
ground_main_plane,-91.69409,-157.36933,310.33502,160
c_connector_arm_Q,116.85344,-6.92054,-109.44069,5
cross_Q,-6.92054,165.21678,-155.88137,300
ground_main_plane,-109.44069,-155.88137,326.31214,210
c_connector_arm_Q,135.72388,-9.03109,-126.11919,5
cross_Q,-9.03109,164.95214,-153.49695,300
ground_main_plane,-126.11919,-153.49695,340.63736,260
c_connector_arm_Q,40.35121,-1.018,-39.17577,5
cross_Q,-1.018,193.63188,-190.11086,350
ground_main_plane,-39.17577,-190.11086,295.61813,10
c_connector_arm_Q,58.93735,-1.93994,-56.76947,5
cross_Q,-1.93994,193.59356,-189.1534,350
ground_main_plane,-56.76947,-189.1534,312.23749,60
c_connector_arm_Q,78.01733,-3.40495,-74.30547,5
cross_Q,-3.40495,193.58838,-187.68287,350
ground_main_plane,-74.30547,-187.68287,328.1842,110
c_connector_arm_Q,97.1515,-5.04965,-91.71952,5
cross_Q,-5.04965,193.54271,-185.99129,350
ground_main_plane,-91.71952,-185.99129,343.87676,160
c_connector_arm_Q,116.60918,-6.78592,-109.36844,5
cross_Q,-6.78592,193.6798,-184.3827,350
ground_main_plane,-109.36844,-184.3827,359.61893,210
c_connector_arm_Q,135.7253,-8.61285,-126.58476,5
cross_Q,-8.61285,193.63983,-182.5167,350
ground_main_plane,-126.58476,-182.5167,374.92587,260
c_connector_arm_Q,155.13717,-10.71946,-143.8132,5
cross_Q,-10.71946,193.79143,-180.55707,350
ground_main_plane,-143.8132,-180.55707,389.93911,310
c_connector_arm_Q,40.32471,-1.01202,-39.1801,5
cross_Q,-1.01202,222.27353,-218.48759,400
ground_main_plane,-39.1801,-218.48759,328.21359,10
c_connector_arm_Q,58.02315,-1.92259,-55.87945,5
cross_Q,-1.92259,220.82523,-216.15427,400
ground_main_plane,-55.87945,-216.15427,343.1804,60
c_connector_arm_Q,77.93848,-3.36449,-74.27845,5
cross_Q,-3.36449,222.19275,-216.05966,400
ground_main_plane,-74.27845,-216.05966,360.84703,110
c_connector_arm_Q,97.29278,-4.97982,-91.93843,5
cross_Q,-4.97982,222.35336,-214.5915,400
ground_main_plane,-91.93843,-214.5915,376.71061,160
c_connector_arm_Q,116.50739,-6.66068,-109.38016,5
cross_Q,-6.66068,222.32516,-212.8815,400
ground_main_plane,-109.38016,-212.8815,392.34143,210
c_connector_arm_Q,135.53857,-8.40977,-126.58774,5
cross_Q,-8.40977,222.23439,-211.04364,400
ground_main_plane,-126.58774,-211.04364,407.68521,260
c_connector_arm_Q,155.48769,-10.24244,-144.60748,5
cross_Q,-10.24244,222.54263,-209.51636,400
ground_main_plane,-144.60748,-209.51636,423.77859,310
c_connector_arm_Q,175.02976,-12.35551,-161.96759,5
cross_Q,-12.35551,222.62099,-207.47196,400
ground_main_plane,-161.96759,-207.47196,438.87319,360
c_connector_arm_Q,40.37144,-1.00933,-39.23664,5
cross_Q,-1.00933,251.54853,-247.86646,450
ground_main_plane,-39.23664,-247.86646,362.36585,10
c_connector_arm_Q,58.90531,-1.92471,-56.79559,5
cross_Q,-1.92471,251.25147,-246.65674,450
ground_main_plane,-56.79559,-246.65674,378.74546,60
c_connector_arm_Q,78.10044,-3.37497,-74.47281,5
cross_Q,-3.37497,251.50398,-245.45946,450
ground_main_plane,-74.47281,-245.45946,395.08776,110
c_connector_arm_Q,97.18442,-4.99237,-91.87431,5
cross_Q,-4.99237,251.35486,-243.69434,450
ground_main_plane,-91.87431,-243.69434,410.66769,160
c_connector_arm_Q,116.46486,-6.66753,-109.41864,5
cross_Q,-6.66753,251.41788,-242.07977,450
ground_main_plane,-109.41864,-242.07977,426.52572,210
c_connector_arm_Q,135.45431,-8.38867,-126.62702,5
cross_Q,-8.38867,251.31098,-240.2501,450
ground_main_plane,-126.62702,-240.2501,441.85083,260
c_connector_arm_Q,155.38031,-10.15437,-144.71724,5
cross_Q,-10.15437,251.67968,-238.85812,450
ground_main_plane,-144.71724,-238.85812,458.39636,310
c_connector_arm_Q,174.25128,-12.00341,-161.68056,5
cross_Q,-12.00341,251.46809,-236.79878,450
ground_main_plane,-161.68056,-236.79878,473.29567,360
c_connector_arm_Q,194.28421,-14.1468,-179.51191,5
cross_Q,-14.1468,251.70924,-234.89293,450
ground_main_plane,-179.51191,-234.89293,489.03573,410
c_connector_arm_Q,40.2489,-1.00393,-39.12272,5
cross_Q,-1.00393,279.91678,-276.19407,500
ground_main_plane,-39.12272,-276.19407,395.07792,10
c_connector_arm_Q,59.01032,-1.91565,-56.9105,5
cross_Q,-1.91565,280.25822,-275.62776,500
ground_main_plane,-56.9105,-275.62776,412.13624,60
c_connector_arm_Q,78.20801,-3.37286,-74.59775,5
cross_Q,-3.37286,280.48412,-274.39934,500
ground_main_plane,-74.59775,-274.39934,428.43362,110
c_connector_arm_Q,97.22823,-4.9753,-91.9633,5
cross_Q,-4.9753,280.16254,-272.4713,500
ground_main_plane,-91.9633,-272.4713,443.94797,160
c_connector_arm_Q,117.13146,-6.64674,-110.14411,5
cross_Q,-6.64674,281.06175,-271.72444,500
ground_main_plane,-110.14411,-271.72444,461.02873,210
c_connector_arm_Q,136.42457,-8.34979,-127.6771,5
cross_Q,-8.34979,281.03182,-269.98875,500
ground_main_plane,-127.6771,-269.98875,476.7774,260
c_connector_arm_Q,155.73914,-10.0847,-145.20732,5
cross_Q,-10.0847,281.00929,-268.23408,500
ground_main_plane,-145.20732,-268.23408,492.50196,310
c_connector_arm_Q,174.04645,-11.84229,-161.6963,5
cross_Q,-11.84229,280.16671,-265.61166,500
ground_main_plane,-161.6963,-265.61166,506.53494,360
c_connector_arm_Q,194.2107,-13.71784,-179.93618,5
cross_Q,-13.71784,280.93076,-264.51507,500
ground_main_plane,-179.93618,-264.51507,523.46505,410
c_connector_arm_Q,213.59436,-15.86362,-197.1169,5
cross_Q,-15.86362,280.91853,-262.35983,500
ground_main_plane,-197.1169,-262.35983,538.38249,460
c_connector_arm_Q,41.33976,-1.08507,-39.94838,7
cross_Q,-1.08507,26.57621,-24.75369,50
ground_main_plane,-39.94838,-24.75369,102.22615,10
c_connector_arm_Q,41.31771,-1.05986,-39.98267,7
cross_Q,-1.05986,52.18123,-49.68309,100
ground_main_plane,-39.98267,-49.68309,131.82382,10
c_connector_arm_Q,60.04985,-2.07056,-57.54744,7
cross_Q,-2.07056,52.16806,-48.65824,100
ground_main_plane,-57.54744,-48.65824,148.20983,60
c_connector_arm_Q,41.19884,-1.0121,-39.9502,7
cross_Q,-1.0121,79.58833,-76.86888,150
ground_main_plane,-39.9502,-76.86888,164.6484,10
c_connector_arm_Q,60.01086,-1.90173,-57.74385,7
cross_Q,-1.90173,79.62624,-76.00862,150
ground_main_plane,-57.74385,-76.00862,181.30633,60
c_connector_arm_Q,79.63387,-3.48344,-75.62384,7
cross_Q,-3.48344,79.65599,-74.4884,150
ground_main_plane,-75.62384,-74.4884,197.28731,110
c_connector_arm_Q,41.21167,-0.97615,-40.02308,7
cross_Q,-0.97615,107.86909,-104.87504,200
ground_main_plane,-40.02308,-104.87504,197.27373,10
c_connector_arm_Q,59.94086,-1.81942,-57.80309,7
cross_Q,-1.81942,107.85739,-104.01924,200
ground_main_plane,-57.80309,-104.01924,214.10866,60
c_connector_arm_Q,79.31168,-3.2073,-75.68512,7
cross_Q,-3.2073,107.81972,-102.59709,200
ground_main_plane,-75.68512,-102.59709,230.36423,110
c_connector_arm_Q,98.58654,-4.9936,-93.07774,7
cross_Q,-4.9936,107.78707,-100.77623,200
ground_main_plane,-93.07774,-100.77623,245.85197,160
c_connector_arm_Q,41.20361,-0.95632,-40.05472,7
cross_Q,-0.95632,136.15583,-132.93101,250
ground_main_plane,-40.05472,-132.93101,229.95646,10
c_connector_arm_Q,60.06196,-1.77374,-57.98297,7
cross_Q,-1.77374,136.24272,-132.18587,250
ground_main_plane,-57.98297,-132.18587,246.93697,60
c_connector_arm_Q,79.27527,-3.10484,-75.76908,7
cross_Q,-3.10484,136.21382,-130.8262,250
ground_main_plane,-75.76908,-130.8262,263.26461,110
c_connector_arm_Q,98.57757,-4.66531,-93.40479,7
cross_Q,-4.66531,136.2058,-129.2543,250
ground_main_plane,-93.40479,-129.2543,279.21118,160
c_connector_arm_Q,118.07611,-6.5258,-110.9429,7
cross_Q,-6.5258,136.30767,-127.50059,250
ground_main_plane,-110.9429,-127.50059,294.8414,210
c_connector_arm_Q,41.2468,-0.94016,-40.15627,7
cross_Q,-0.94016,164.96802,-161.63531,300
ground_main_plane,-40.15627,-161.63531,263.43819,10
c_connector_arm_Q,60.01332,-1.7448,-58.02505,7
cross_Q,-1.7448,164.95616,-160.77553,300
ground_main_plane,-58.02505,-160.77553,280.34471,60
c_connector_arm_Q,79.2213,-3.0428,-75.85628,7
cross_Q,-3.0428,164.92924,-159.44943,300
ground_main_plane,-75.85628,-159.44943,296.78577,110
c_connector_arm_Q,98.7882,-4.52881,-93.84222,7
cross_Q,-4.52881,165.16369,-158.20866,300
ground_main_plane,-93.84222,-158.20866,313.28558,160
c_connector_arm_Q,118.28045,-6.14009,-111.64912,7
cross_Q,-6.14009,165.26111,-156.70414,300
ground_main_plane,-111.64912,-156.70414,329.45356,210
c_connector_arm_Q,137.3487,-8.02811,-128.75237,7
cross_Q,-8.02811,164.98256,-154.52507,300
ground_main_plane,-128.75237,-154.52507,344.40452,260
c_connector_arm_Q,41.25071,-0.92859,-40.16241,7
cross_Q,-0.92859,193.60543,-190.16043,350
ground_main_plane,-40.16241,-190.16043,296.64245,10
c_connector_arm_Q,59.99869,-1.72671,-58.04172,7
cross_Q,-1.72671,193.57563,-189.33522,350
ground_main_plane,-58.04172,-189.33522,313.66934,60
c_connector_arm_Q,79.3652,-3.01319,-76.04578,7
cross_Q,-3.01319,193.75697,-188.22355,350
ground_main_plane,-76.04578,-188.22355,330.20539,110
c_connector_arm_Q,98.50792,-4.47524,-93.65225,7
cross_Q,-4.47524,193.54209,-186.55171,350
ground_main_plane,-93.65225,-186.55171,346.34355,160
c_connector_arm_Q,118.04459,-6.02187,-111.57175,7
cross_Q,-6.02187,193.6803,-185.13324,350
ground_main_plane,-111.57175,-185.13324,362.5334,210
c_connector_arm_Q,137.26379,-7.6651,-129.07593,7
cross_Q,-7.6651,193.65117,-183.46373,350
ground_main_plane,-129.07593,-183.46373,378.34222,260
c_connector_arm_Q,156.78077,-9.56614,-146.61856,7
cross_Q,-9.56614,193.80453,-181.71205,350
ground_main_plane,-146.61856,-181.71205,393.88695,310
c_connector_arm_Q,41.23711,-0.92307,-40.18098,7
cross_Q,-0.92307,222.25849,-218.57823,400
ground_main_plane,-40.18098,-218.57823,329.34215,10
c_connector_arm_Q,59.08019,-1.71001,-57.15018,7
cross_Q,-1.71001,220.84709,-216.40505,400
ground_main_plane,-57.15018,-216.40505,344.74016,60
c_connector_arm_Q,79.12426,-2.9802,-75.85147,7
cross_Q,-2.9802,222.20037,-216.46543,400
ground_main_plane,-75.85147,-216.46543,362.84164,110
c_connector_arm_Q,98.62094,-4.40987,-93.84149,7
cross_Q,-4.40987,222.34599,-215.16818,400
ground_main_plane,-93.84149,-215.16818,379.24098,160
c_connector_arm_Q,117.94172,-5.9112,-111.57076,7
cross_Q,-5.9112,222.33789,-213.6598,400
ground_main_plane,-111.57076,-213.6598,395.35845,210
c_connector_arm_Q,137.1377,-7.47003,-129.13513,7
cross_Q,-7.47003,222.2446,-212.01006,400
ground_main_plane,-129.13513,-212.01006,411.25521,260
c_connector_arm_Q,157.06064,-9.11202,-147.29997,7
cross_Q,-9.11202,222.64138,-210.72992,400
ground_main_plane,-147.29997,-210.72992,427.68486,310
c_connector_arm_Q,176.01589,-11.01446,-164.31754,7
cross_Q,-11.01446,222.46364,-208.67716,400
ground_main_plane,-164.31754,-208.67716,442.80916,360
c_connector_arm_Q,40.64038,-0.91844,-39.5953,7
cross_Q,-0.91844,249.50351,-245.90276,450
ground_main_plane,-39.5953,-245.90276,361.32408,10
c_connector_arm_Q,59.94257,-1.71315,-58.04479,7
cross_Q,-1.71315,251.20437,-246.83143,450
ground_main_plane,-58.04479,-246.83143,380.1617,60
c_connector_arm_Q,79.25162,-2.98487,-76.01687,7
cross_Q,-2.98487,251.40106,-245.755,450
ground_main_plane,-76.01687,-245.755,396.89077,110
c_connector_arm_Q,98.5673,-4.41764,-93.83591,7
cross_Q,-4.41764,251.39559,-244.31912,450
ground_main_plane,-93.83591,-244.31912,413.22164,160
c_connector_arm_Q,118.32636,-5.90724,-112.02969,7
cross_Q,-5.90724,251.76845,-243.19985,450
ground_main_plane,-112.02969,-243.19985,430.05165,210
c_connector_arm_Q,137.72568,-7.44222,-129.83149,7
cross_Q,-7.44222,251.70966,-241.60304,450
ground_main_plane,-129.83149,-241.60304,446.21261,260
c_connector_arm_Q,157.04637,-9.02465,-147.50621,7
cross_Q,-9.02465,251.6923,-240.00455,450
ground_main_plane,-147.50621,-240.00455,462.22083,310
c_connector_arm_Q,176.46177,-10.69098,-165.20048,7
cross_Q,-10.69098,251.68339,-238.33094,450
ground_main_plane,-165.20048,-238.33094,478.19443,360
c_connector_arm_Q,195.15008,-12.61964,-181.92651,7
cross_Q,-12.61964,251.42566,-236.14593,450
ground_main_plane,-181.92651,-236.14593,492.84458,410
c_connector_arm_Q,41.15761,-0.91417,-40.11933,7
cross_Q,-0.91417,279.88506,-276.24345,500
ground_main_plane,-40.11933,-276.24345,396.11005,10
c_connector_arm_Q,60.0443,-1.70054,-58.16073,7
cross_Q,-1.70054,280.22133,-275.80188,500
ground_main_plane,-58.16073,-275.80188,413.5402,60
c_connector_arm_Q,79.38173,-2.97514,-76.17177,7
cross_Q,-2.97514,280.44719,-274.75514,500
ground_main_plane,-76.17177,-274.75514,430.36361,110
c_connector_arm_Q,98.55308,-4.39622,-93.8708,7
cross_Q,-4.39622,280.12476,-273.0096,500
ground_main_plane,-93.8708,-273.0096,446.40074,160
c_connector_arm_Q,118.02346,-5.87395,-111.80792,7
cross_Q,-5.87395,280.38992,-271.79756,500
ground_main_plane,-111.80792,-271.79756,462.9334,210
c_connector_arm_Q,137.26841,-7.38387,-129.48491,7
cross_Q,-7.38387,280.33338,-270.22922,500
ground_main_plane,-129.48491,-270.22922,478.9985,260
c_connector_arm_Q,157.37295,-8.94813,-147.98513,7
cross_Q,-8.94813,280.91211,-269.26338,500
ground_main_plane,-147.98513,-269.26338,496.25042,310
c_connector_arm_Q,175.91484,-10.51463,-164.9025,7
cross_Q,-10.51463,280.22085,-266.98826,500
ground_main_plane,-164.9025,-266.98826,511.0956,360
c_connector_arm_Q,196.01183,-12.20208,-183.26895,7
cross_Q,-12.20208,280.84875,-265.94177,500
ground_main_plane,-183.26895,-265.94177,528.17004,410
c_connector_arm_Q,215.89581,-14.11871,-201.23339,7
cross_Q,-14.11871,281.18982,-264.44525,500
ground_main_plane,-201.23339,-264.44525,544.48137,460
c_connector_arm_Q,42.14353,-0.99992,-40.81468,9
cross_Q,-0.99992,26.60428,-24.86679,50
ground_main_plane,-40.81468,-24.86679,103.30626,10
c_connector_arm_Q,42.18645,-0.97958,-40.92849,9
cross_Q,-0.97958,52.20494,-49.77435,100
ground_main_plane,-40.92849,-49.77435,132.86959,10
c_connector_arm_Q,60.96479,-1.8724,-58.65708,9
cross_Q,-1.8724,52.18717,-48.86167,100
ground_main_plane,-58.65708,-48.86167,149.56808,60
c_connector_arm_Q,42.13366,-0.93711,-40.95524,9
cross_Q,-0.93711,79.68213,-77.03019,150
ground_main_plane,-40.95524,-77.03019,165.69918,10
c_connector_arm_Q,60.94546,-1.72393,-58.85231,9
cross_Q,-1.72393,79.62967,-76.19179,150
ground_main_plane,-58.85231,-76.19179,182.66032,60
